iter	Passed	Remaining
0	1	994
1	3	839
2	5	932
3	7	989
4	9	953
5	12	1023
6	14	1033
7	16	1023
8	17	983
9	19	968
10	21	963
11	22	942
12	24	937
13	26	942
14	27	919
15	29	922
16	34	1016
17	38	1048
18	40	1059
19	43	1060
20	45	1059
21	48	1073
22	49	1062
23	52	1070
24	54	1062
25	56	1058
26	59	1060
27	60	1039
28	62	1046
29	65	1059
30	68	1063
31	71	1070
32	74	1077
33	76	1070
34	78	1069
35	80	1059
36	82	1058
37	84	1056
38	86	1054
39	88	1046
40	90	1043
41	92	1033
42	94	1029
43	96	1027
44	99	1027
45	101	1026
46	103	1024
47	105	1019
48	107	1015
49	109	1013
50	111	1006
51	113	1005
52	116	1012
53	119	1016
54	122	1021
55	125	1021
56	127	1019
57	130	1022
58	133	1026
59	136	1028
60	140	1041
61	142	1037
62	145	1034
63	148	1036
64	150	1035
65	152	1027
66	155	1030
67	158	1031
68	160	1031
69	163	1029
70	165	1030
71	168	1029
72	170	1026
73	173	1024
74	175	1023
75	177	1017
76	178	1011
77	181	1010
78	185	1014
79	187	1015
80	190	1012
81	192	1008
82	194	1006
83	197	1006
84	199	1001
85	201	996
86	202	991
87	205	988
88	207	986
89	209	984
90	212	982
91	214	980
92	217	978
93	218	973
94	221	972
95	223	969
96	225	966
97	228	964
98	231	965
99	233	960
100	235	957
101	238	958
102	240	954
103	242	951
104	244	949
105	245	942
106	248	939
107	250	936
108	252	934
109	254	931
110	257	930
111	260	930
112	264	932
113	267	933
114	271	936
115	274	935
116	275	930
117	277	925
118	279	923
119	280	916
120	281	908
121	282	902
122	284	898
123	285	893
124	287	890
125	289	888
126	291	884
127	293	881
128	295	877
129	296	871
130	299	871
131	302	871
132	305	869
133	309	873
134	311	870
135	314	868
136	315	862
137	318	862
138	320	859
139	323	860
140	327	862
141	330	861
142	331	855
143	334	854
144	338	856
145	341	856
146	345	858
147	346	853
148	347	847
149	349	844
150	352	842
151	356	845
152	360	846
153	365	849
154	368	849
155	371	847
156	373	845
157	375	840
158	375	834
159	377	831
160	379	827
161	382	825
162	385	824
163	387	822
164	391	822
165	393	821
166	396	818
167	398	816
168	403	818
169	405	816
170	409	815
171	411	813
172	414	811
173	417	811
174	421	811
175	424	810
176	426	807
177	429	805
178	431	802
179	434	801
180	436	797
181	440	798
182	441	793
183	444	792
184	447	791
185	449	788
186	451	783
187	457	788
188	460	786
189	463	786
190	466	783
191	468	781
192	470	777
193	472	774
194	473	770
195	477	769
196	479	766
197	481	763
198	483	761
199	486	758
200	488	756
201	492	755
202	493	751
